132,126,104,129,128,127,118,139,112,117,106,115,133,134,137,135,138,125,140,136,121,105,109,107,116,119,111,142,141,113,131,130,108,110,102,103,122,124,120,123,114,151,152,153,161,162,163,164,32,26,4,29,28,27,18,39,12,17,6,15,33,34,37,35,38,25,40,36,21,5,9,7,16,19,11,42,41,13,31,30,8,10,2,3,22,24,20,23,14,51,52,53,61,62,63,64
-1,8.17091,-1,8.15807,6.01964,10.2308,4.47674,8.23077,-1,-1,8.59556,9.0449,-1,7.0952,5.67879,8.17603,-1,7.14573,8.40059,-1,7.62034,5.59936,7.92778,2.69883,4.81928,7.57674,4.96333,-1,-1,8.00365,-1,6.34824,6.44181,-1,4.13443,7.00712,7.58278,-1,-1,-1,-1,-1,7.19016,-1,-1,-1,-1,-1,9.54023,9.52427,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.9781,-1,7.81933,5.56196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.35647,6.56672,-1,-1,6.68352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8.17091,-1,5.54909,6.69551,5.27321,7.55636,3.70909,7.17818,-1,-1,7.22909,7.3102,6.20457,5.86125,4.91818,6.80364,6.19636,5.53266,6.65579,-1,6.03729,4.58013,5.99444,2.30702,4.06928,6.63023,4.17667,6.25818,6.19664,6.64658,5.14163,5.22353,5.45168,4.06182,3.50328,5.90113,5.72517,-1,-1,-1,-1,-1,5.64918,8.82171,-1,-1,-1,-1,8.23273,7.8699,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.4927,-1,6.41284,4.92219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.22397,5.34483,-1,2.99459,5.42118,6.10909,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,5.54909,-1,5.10982,4.36071,-1,3.04651,-1,6.09091,3.69496,5.10667,5.89116,-1,4.631,-1,5.38951,-1,4.72194,4.94065,-1,5.47458,4.125,5.27963,1.80702,3.20181,5.21628,3.47333,-1,-1,-1,-1,-1,4.4931,2.75182,2.63934,4.6946,5.07616,4.15162,2.66061,4.66904,1.93382,7.85354,5.95738,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8.15807,6.69551,5.10982,-1,5.25624,7.56406,3.98419,6.96339,7.20383,4.901,7.03827,7.48003,6.29118,5.83542,4.68885,6.80782,6.43178,5.78869,6.82363,5.6614,6.57155,4.41681,6.3228,2.27038,3.87271,6.44676,4.21215,6.42596,6.33361,6.48752,5.44093,5.02329,5.37438,3.66306,3.30699,5.84625,5.93428,-1,3.23794,5.49085,-1,7.78785,5.81198,8.96839,7.41348,8.67554,-1,5.9792,-1,-1,-1,7.54409,6.48502,-1,6.50998,-1,-1,-1,7.43844,7.8203,7.09401,6.70048,5.23128,6.66972,4.85108,5.78286,7.4218,-1,5.49501,5.08319,6.31864,2.03245,4.13894,7.15391,4.60815,7.77704,5.39767,6.80699,-1,-1,-1,-1,3.55408,-1,6.74126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6.01964,5.27321,4.36071,5.25624,-1,5.74107,2.82321,5.61071,5.76786,3.84286,5.57679,5.92517,5.03177,4.71513,4.01964,5.49286,5.0875,4.46734,5.29464,4.87857,4.98393,3.76071,5.18929,1.98929,3.35536,5.58036,3.52857,5.22857,5.21071,5.29041,4.49034,4.08571,4.61964,3.00179,2.74426,4.83745,4.98214,4.27598,2.775,4.72081,1.91429,6.04409,4.8875,6.91429,5.87321,6.44578,-1,-1,-1,-1,-1,5.28643,4.79153,5.22857,-1,6.0375,-1,-1,-1,5.67397,5.33523,5.36846,4.29464,5.20357,4.275,4.71616,5.13214,-1,-1,-1,4.64374,-1,-1,5.60651,3.52143,5.88571,4.17857,5.43114,-1,-1,4.46927,-1,-1,4.63575,-1,-1,3.3625,4.92376,2.39821,-1,-1,-1,6.09286,-1,-1,-1
10.2308,7.55636,-1,7.56406,5.74107,-1,4.77436,-1,-1,-1,8.03111,8.98095,-1,6.69889,5.06061,8.08989,7.1037,6.60804,7.96142,-1,7.41695,5.29487,6.88889,2.64035,4.25,6.9186,4.68333,-1,-1,-1,-1,-1,6.13412,3.7641,3.7623,6.69208,6.81126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.67458,-1,-1,-1,-1,-1,-1,-1,-1,7.47623,5.58213,7.18462,5.11168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4.47674,3.70909,3.04651,3.98419,2.82321,4.77436,-1,-1,-1,2.7374,4.02667,3.9034,-1,3.38081,-1,-1,3.68519,3.50419,4.20475,3.68421,3.55254,2.40705,3.65185,1.5117,2.25904,3.68372,2.33333,-1,-1,-1,-1,-1,3.23274,1.94767,1.97541,3.60159,3.70199,-1,1.96768,3.34315,-1,4.53701,3.77377,5.2584,4.30467,4.75542,-1,4.11047,-1,-1,-1,4.87638,-1,-1,-1,-1,-1,-1,-1,5.00365,-1,-1,-1,-1,-1,-1,-1,-1,3.48254,2.56026,-1,1.12,2.71875,-1,3.25455,-1,-1,-1,-1,-1,-1,-1,2.30135,-1,4.07393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8.23077,7.17818,-1,6.96339,5.61071,-1,-1,-1,-1,-1,-1,8.31156,6.87421,6.24797,5.21515,7.38577,6.89259,6.26131,7.39169,-1,6.87797,4.77564,6.7463,2.34503,4.12349,6.99767,4.44,6.71282,6.53477,7.23196,5.72639,5.62824,5.9073,3.91453,3.69344,6.39715,6.40728,-1,3.51515,6.26396,1.99265,8.54803,6.31475,9.66925,8.52149,9.10482,-1,-1,-1,-1,-1,-1,6.55763,-1,-1,-1,-1,-1,-1,-1,-1,6.89461,5.53026,7.25275,5.16244,5.87627,7.42155,-1,-1,-1,-1,-1,-1,7.63636,-1,7.86498,5.43322,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,6.09091,7.20383,5.76786,-1,-1,-1,-1,-1,7.70034,8.04218,-1,6.22214,-1,-1,-1,5.94807,7.27003,-1,6.87205,5.04487,6.5963,2.4269,4.25301,7.30465,4.52667,6.85522,-1,7.08037,5.60515,5.63059,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.23855,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
